ID,SOURCE,SECTION,LINE,RULE,MD_STATUS,LOSS_KIND,CURRENT_LOCATION,ENFORCED,MECHANISM,VERIFIED,BINDS,DISPOSITION,NOTE
C064,CLAUDE.md,Team Workflow,363,Run and report test coverage before every commit/push,REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #9 (Q1) deleted 'run and report coverage'. Does not matter: coverage is now the project's runner threshold (DoD.md:147-148), which fails on its own."
C066,CLAUDE.md,Team Workflow,365,"Measure coverage over the whole src tree, never a curated subset",REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #9 (Q1). Matters mildly: templates/project_config_dod.md:82 now seeds a curated subset (include src/application/**, src/domain/**) — exactly the 'subset-metric theatre' the deleted rule forbade — so new projects inherit the pattern."
C068,CLAUDE.md,Team Workflow,374,adapters coverage >=80%,REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #9 (Q1, coverage tiers). Does not matter much: tier thresholds were never measured anywhere; projects declare their own."
C069,CLAUDE.md,Team Workflow,376,CLI entry points coverage >=75%,REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #9 (Q1, coverage tiers). Same as C068: never measured, projects declare their own."
C071,CLAUDE.md,Team Workflow,381,"Exclude only per-file, with a stated reason; never a wholesale directory exclude",REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #9 (Q1). Matters mildly: templates/project_config_dod.md:83 now seeds a wholesale directory exclude (src/adapters/**), the exact pattern the deleted rule banned."
C072,CLAUDE.md,Team Workflow,387,Mirror the coverage exclusion set into the static-analysis tool's exclusions,REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,PLAN-TASK-022 §4 #9 (Q1). Low impact: no coverage exclusion set exists here; sonar-project.properties:32-37 only reads lcov and even cites a 'tests/vitest.config.ts coverage block' that does not exist (stale comment).
C085,CLAUDE.md,Pre-push tolerance,456,There is no hard wall-clock ceiling on the pre-push gate,REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #11 deleted the BUG-005 section. The property still holds (pipeline.sh has no ceiling), but it matters that the stale opposite survives: docs/SECURITY.md:49-55 still says 'the ≤30 s pre-push ceiling is not [unbounded]' and .githooks/pre-push:268,289,297,328 still argue from 'the ≤30s gate ceiling in CLAUDE.md' / 'DoD §4' in comments and in a user-facing error message."
C089,CLAUDE.md,Pre-push tolerance,484,"If the gate becomes painful, fix the slow suite rather than moving it",REMOVED_LOST,DELIBERATE,,NONE,scripts/lib/pipeline.sh:555 (warning text only),EXEC,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #11 deleted it with the BUG-005 section; the release tier now sanctions moving an expensive suite out (DoD.md:149-152), so it is superseded. Survives only as the SLO warning text ('Optimise it — do not move it out'), which fires (see C088) but warns rather than refuses. Low impact: manifest still blocks a silent demotion."
C128,CLAUDE.md,SonarQube,832,"Triage in order: BUG, then BLOCKER/CRITICAL, then MAJOR, then MINOR",REMOVED_LOST,DELIBERATE,scripts/sonar.sh:27 (comment only),NONE,,READ,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #19 moved the Sonar runbook to the scripts/sonar.sh header; CLAUDE.md:237 points there. Doesn't matter much: ordering advice for an opt-in audit, still reachable via the pointer."
C129,CLAUDE.md,SonarQube,834,"Every finding is fixed, or deferred with the rule, count and reason in the commit message",REMOVED_LOST,DELIBERATE,scripts/sonar.sh:30 (comment only),NONE,,READ,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #19 (runbook to sonar.sh header). Minor: silent Sonar deferrals are possible, but Sonar is an opt-in audit, not a gate, and the pointer at CLAUDE.md:237 keeps it discoverable."
C131,CLAUDE.md,SonarQube,843,"After each fix commit, re-scan and check the new-code gate",REMOVED_LOST,DELIBERATE,scripts/sonar.sh:35 (comment only),NONE,,READ,UNANCHORED,DELETED,PLAN-TASK-022 §4 #19 (runbook to sonar.sh header). Low stakes: per-commit re-scan is workflow advice for an opt-in audit.
C133,CLAUDE.md,SonarQube,857,The code-quality mechanism row goes in project_config_overview.md,REMOVED_LOST,OBSOLETE,,NONE,,EXEC,UNANCHORED,DELETED,"Referenced project_config_overview.md §""Code quality stack"", which never existed (absent in templates and root overview at 34d5d00^ and now). Doesn't matter: the row pointed at nothing."
C142,CLAUDE.md,Wake-time drift check,914,"On a stale blueprint, bump .blueprint-source bootstrap_sha and proceed",REMOVED_LOST,DELIBERATE,,NONE,,READ,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #20 cut the wake/drift/pull sections to ~12 lines. Doesn't matter: a full pull advances bootstrap_sha (tests/pull-behaviour #3), and CLAUDE.md:270 now says it is updated by the pull, never by hand."
C152,CLAUDE.md,Back-propagating,1041,Exit 3 means a PR actually exists; a pushed branch with no PR is 5,REMOVED_ENFORCED,,,TEST,"tests/a2bp-pr-filing/a2bp-pr-filing.spec.ts:204,228,247 over scripts/blueprint:2078-2086",EXEC,ALL-IF-ARMED,ALREADY-OK,"Gone from normative md (PLAN-TASK-022 §4 #1). WORSE: README.md:267-274 still says a2bp 'exited 3 (filed) without ever creating a PR ... Until they are fixed, confirm a filing by its PR URL' - stale, contradicts the fixed behaviour. PROOF: clone, sed scripts/blueprint:2086 'return ""$BP_RC_FAILED""' -> '$BP_RC_PENDING', vitest run a2bp-pr-filing -> 'FAIL #4b ... AssertionError: gh is not installed, no PR can exist, yet it returns BP_RC_PENDING (3)'; unmutated baseline 7/7 passed. Note: the suite greps source blocks, it does not execute a2bp."
D011,DoD.md,§1b rule 2,72,"Promote the item to doing/ BEFORE starting work, not at commit time.",REMOVED_LOST,DELIBERATE,,NONE,scripts/lib/dod-gate.sh:154 (pipe_note only),READ,UNANCHORED,DELETED,"PLAN-TASK-022 §4 #4: 'promote BEFORE starting' contradicted the 2026-09-16 decision; replaced by DoD.md:43-44 'row lands in doing/ with its first work commit'. Does not matter: reversed on purpose. Leftover: refusal texts in dod-gate.sh:159-160, .githooks/commit-msg and check-commit-subjects.sh still say 'add a row under docs/backlog/, promote it to docs/doing/' — stale wording vs the new rule."
D016,DoD.md,§1b rule 6,107,"Product repos push to main; the BLUEPRINT lands only via branch + PR, never a direct push to main.",REMOVED_LOST,DELIBERATE,,NONE,,READ,UNANCHORED,DELETED,"Reversed: TASK-019 + PLAN-TASK-022 §4 #5; DoD.md:61-64 now says maintainers push to main, only external contributions (a2bp) are PRs; CLAUDE.blueprint.md §'The blueprint's main is its trunk' records the founder decision (2026-09-10). Does not matter: the old rule contradicted a founder decision."
D034,DoD.md,§3.2,222,"Two-commit exceptions are limited to docs-only, test-only, trivial typo, and emergency grouped repairs, and the commit message names which.",REMOVED_LOST,DELIBERATE,,NONE,,READ,UNANCHORED,DELETED,"Exception list (docs-only/test-only/typo/emergency, named in commit message) deleted by founder Q2 / PLAN-TASK-022 §4 #14; grep of all normative md finds no restatement. Low impact: the parent rule is itself scoped to 'product or runtime bug' and labelled judgement."
D039,DoD.md,§3.6,253,Run a coverage report before every commit/push and know what the change does to coverage.,REMOVED_LOST,DELIBERATE,,NONE,,READ,UNANCHORED,DELETED,Founder Q1 / PLAN-TASK-022 §4 #9 deleted 'run a coverage report before every commit'. DoD.md:147-148 now only says thresholds are the project's. Does not matter here: vacuous in the blueprint (no measured code).
D040,DoD.md,§3.6,256,"Coverage is measured over the whole src/** tree, never a curated subset.",REMOVED_LOST,DELIBERATE,,NONE,,READ,UNANCHORED,DELETED,"Founder Q1 / PLAN §4 #9. Contradicted anyway by templates/project_config_dod.md:81-84 (include src/application/**, src/domain/**). Minor: a derived project may now measure a curated subset without any rule against it."
D041,DoD.md,§3.6,258,"Tiered thresholds: domain/app >=90%, adapters >=80%, CLI >=75%, statements+branches, per layer.",REMOVED_LOST,DELIBERATE,,NONE,,READ,UNANCHORED,DELETED,Founder Q1 / PLAN §4 #9 deleted the 90/80/75 tiers; the template keeps a single greenfield 90% / brownfield 70% bar (templates/project_config_dod.md:76-79). Does not matter: now a per-project declaration.
D043,DoD.md,§3.6,264,"Exclude only non-executable files, per-file with a stated reason, mirrored into the SAST tool's exclusions.",REMOVED_LOST,DELIBERATE,,NONE,,READ,UNANCHORED,DELETED,"Founder Q1 / PLAN §4 #9. Template has an exclude list (templates/project_config_dod.md:83) but no per-file reason or SAST mirroring requirement. Vacuous here (no coverage config, no sonar exclusions)."
D045,DoD.md,§3.7,271,"Pre-push coverage is decided on risk, never on the clock; no suite is demoted to fit a budget.",REMOVED_LOST,DELIBERATE,,TEST,"tests/manifest/manifest.ts:713-748 (#4 gate invokes every non-release suite, #5 CI every suite)",READ,ALL,DELETED,"'Decided on risk, never the clock; no suite demoted to fit a budget' was deleted (PLAN §4 #11) and effectively reversed by TASK-054: DoD.md:149-152 moves an EXPENSIVE suite to release tier (CI only). The surviving, enforced residue is 'every suite runs somewhere' (see D046). Does not matter: cost-based tiering is now the sanctioned policy."
D047,DoD.md,§3.7,278,A non-blocking SLO warns past 120 s total / 45 s per stage.,REMOVED_ENFORCED,,,GATE,scripts/lib/pipeline.sh:546-558 (pipe_finish),EXEC,ALL-IF-ARMED,ALREADY-OK,"Gone from all normative md (DoD §3.7 deleted, PLAN-TASK-022 §4 #11; survives only in docs/backlog/TASK-013). Mechanism warns, never blocks, but at 180 s total / 95 s per stage (env-overridable AGENT_GATE_SLO_*_MS), not 120/45; the warning text itself carries the rule. PROOF: in scratch clone, source scripts/lib/pipeline.sh; pipe_init; pipe_stage slow-stage (sleep 1.2); AGENT_GATE_SLO_STAGE_MS=500 pipe_finish -> '⚠ gate SLO: slow-stage took 1.2s (over 0.5s). Optimise it — do not move it out.' finish rc=0; AGENT_GATE_SLO_TOTAL_MS=500 -> '⚠ gate SLO: 1.2s total exceeds 0.5s. Not a failure and nothing is demoted'."
D096,DoD.md,§7A,610,All commits are pushed: git log origin/main..HEAD must be empty.,REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"§7A deleted by PLAN-TASK-022 §4 row #16 ('A: CI'). Matters a little: DoD.md:212 now claims 'Shipping is checked by the gate and CI', which structurally cannot see unpushed commits; §1b rule 7 (DoD.md:65) and §4 'After pushing, watch CI' (DoD.md:164) cover only adjacent parts."
D102,DoD.md,§7B,624,A coverage report was run and shows no surprise regression.,REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"Coverage report/tiers deleted by PLAN-TASK-022 §4 row #9 (Q1). Does not matter: vacuous here since day one; DoD.md:147-148 delegates thresholds to the project's own runner, templates/project_config_dod.md keeps 'Coverage mode'."
D108,DoD.md,§7C,640,A forward feature gets a waiting-acceptance/CHANGES.md row with commit SHA + verification path.,REMOVED_LOST,OBSOLETE,,NONE,,NONE,UNANCHORED,DELETED,CHANGES.md is gone from every normative doc and the tree (only docs/done/BACKLOG.md history). Features now take a BACKLOG.md row via §1b. Does not matter: the target file no longer exists.
D118,DoD.md,§7F.1,682,"The doc-sync list in the claim is checked against that diff, file by file.",REMOVED_LOST,DELIBERATE,,NONE,,NONE,UNANCHORED,DELETED,"§7F.1 file-by-file sync check deleted: PLAN-TASK-022 §4 #15 ('F.1 shrinks to review a named commit, not the tree') and #16. Matters little: §7D/§5 (DoD.md:182,215) keep the sync obligation as judgement, and the sync list is unfilled here."
