ID,SOURCE,SECTION,LINE,RULE,ENFORCED,MECHANISM,VERIFIED,ANCHOR_CORRECT,BINDS,EXECUTES_HERE,STILL_CURRENT,DISPOSITION,NOTE,MD_STATUS,CURRENT_LOCATION,LOSS_KIND
C001,CLAUDE.md,Preamble,5,Read project_config_overview/paths/dod alongside CLAUDE.md,HOOK,"CLAUDE.md:7-11 (@-imports, Claude Code loads them) + tests/template-source/template-source.spec.ts:97",EXEC,YES,CLAUDE-ONLY,YES,CURRENT,ALREADY-OK,"Rule turned into mechanism: ""read alongside"" is now @-imports the harness loads every session (the configs are in this session's context). template-source #import-1 pins the import list (passes in vitest). Codex/Gemini get no import.",IN_MD,CLAUDE.md:3-17,
C002,CLAUDE.md,Preamble,11,"When editing config, distinguish templates/ (ships) from root copy (this repo only)",TEST,"tests/template-source/template-source.spec.ts:140,159",READ,YES,ALL,YES,CURRENT,ALREADY-OK,"Now in CLAUDE.blueprint.md (""ask which you mean: templates/ ... or the root copy""). #2/#2b pin that root configs and templates/ do not ship; the editing judgement itself stays prose. Suite runs in gate and CI.",MOVED_MD,CLAUDE.blueprint.md:24-30,
C003,CLAUDE.md,Agent Coordination,17,logs/state/signal.md is written only by scripts/signal-set.sh,NONE,,EXEC,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,"Also AGENT_SIGNAL.md:13, AGENTS.md:6. Nothing detects a hand-edit; dod_stage_signal only checks rows exist (a hand-written well-formed baton passed in a clone). || no mechanism exists",IN_MD,CLAUDE.md:41-42,
C004,CLAUDE.md,Agent Coordination,21,Do not hand-edit the baton rows; one writer publishes atomically,GATE,scripts/lib/dod-gate.sh:467-491,EXEC,NO,ALL-IF-ARMED,YES,CURRENT,LABEL-UNCHECKED,"Also DoD.md:224-227 (§7G, which honestly says only well-formedness is checked). Clone: hand-wrote signal.md with Holder=not-a-persona-hand-edited -> dod_stage_signal ""baton well-formed"" rc=0. Anchors form, not authorship.",IN_MD,CLAUDE.md:45-47,
C005,CLAUDE.md,Agent Coordination,23,"Holder must be a persona name from the roster, not a bare agent type",NONE,,EXEC,NO,UNANCHORED,N/A,CURRENT,MECHANISE,"Also AGENTS.md:56-61, AGENT_SIGNAL.md:47. Clone: signal-set.sh --holder NoSuchPersona --state IDLE -> ""published Holder=NoSuchPersona"" rc=0; no roster lookup. || no mechanism exists",IN_MD,CLAUDE.md:47-48,
C006,CLAUDE.md,Agent Coordination,28,Copy AGENT_ROSTER.example.md to a gitignored AGENT_ROSTER.md once,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,Per-engineer file; unchanged. || no mechanism exists,IN_MD,CLAUDE.md:50-53,
C007,CLAUDE.md,Agent Coordination,37,Read AGENTS.md before any coordinated work,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,DELETE-AS-ASPIRATION,"Still says ""Read it before any coordinated work""; unobservable. || no mechanism exists",IN_MD,CLAUDE.md:58-61,
C008,CLAUDE.md,On wake,49,Adopt the Orchestrator persona by reading its name from the roster,NONE,,READ,UNSURE,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,Also AGENTS.md:31-37. SessionStart hook (scripts/session-start.sh) does not print the persona; --whoami still optional. || no mechanism exists,IN_MD,CLAUDE.md:70-74,
C009,CLAUDE.md,On wake,59,Ensure the live team feed is running (agent-activity.sh --daemon),HOOK,scripts/session-start.sh:26-27 + .claude/settings.json:261-271 + tests/session-start/session-start.spec.ts:21,EXEC,YES,CLAUDE-ONLY,YES,CURRENT,ALREADY-OK,"Mechanised by TASK-022 stage 3: SessionStart hook starts the feed independent of drift. tests/session-start passes (feed invoked with failing drift stub). Codex/Gemini wake by hand (CLAUDE.md:88-90), unanchored.",IN_MD,CLAUDE.md:76-78,
C010,CLAUDE.md,On wake,67,Spawned non-primary personas must NOT start the feed,TEST,tests/agent-activity-bound/agent-activity-bound.release.spec.ts:236,READ,NO,ALL,UNKNOWN,CURRENT,LABEL-UNCHECKED,"Gone from CLAUDE.md; AGENTS.md:41-42 and :327-328 keep it. Flock idempotency (#1, release tier, CI only) makes a second start harmless but does not tell primary from spawned. SessionStart matcher startup|resume does not fire for subagents, which structurally helps.",MOVED_MD,AGENTS.md:41-42,
C011,CLAUDE.md,On wake,69,Arm the wake-time Monitors on every wake,NONE,scripts/session-start.sh:54 (prints a reminder only),READ,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,"Hook prints ""Next: arm the wake-time Monitors"" but cannot arm them; Monitor is session state. || no mechanism exists",IN_MD,CLAUDE.md:83-86,
C012,CLAUDE.md,On wake,72,"Watch signal.md and emit on EVERY Holder/State change, not just OVER_TO_you",NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,Also AGENTS.md:163-197 recipe. || no mechanism exists,IN_MD,CLAUDE.md:83-85,
C013,CLAUDE.md,On wake,78,"Arm whatever project_config_paths.md ""Wake-time Monitors"" declares",NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,Table in project_config_paths.md ships empty. || no mechanism exists,IN_MD,CLAUDE.md:85-86,
C014,CLAUDE.md,On wake,82,Monitors must be persistent:true and emit only on change,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,Also project_config_paths.md §Wake-time Monitors. || no mechanism exists,IN_MD,CLAUDE.md:83-84,
C015,CLAUDE.md,On wake,88,A spawned session must not re-run the orchestrator wake steps,NONE,.claude/settings.json:263 (matcher startup|resume),READ,UNSURE,CLAUDE-ONLY,N/A,CURRENT,LABEL-UNCHECKED,"narrowed: AGENTS.md says spawned personas must not start the feed and adopt their own persona; the general ""do not re-run wake steps"" is gone. The hook fires only for primary sessions (subagents get SubagentStart), so the automated steps cannot re-run; Monitor arming by a spawned agent is unchecked.",MOVED_MD,AGENTS.md:41-42,
C016,CLAUDE.md,Running commands,94,Every command in its own call; never join independent commands with ; && ||,HOOK,scripts/no-chain-guard.sh + .claude/settings.json:295-305,EXEC,YES,CLAUDE-ONLY,YES,CURRENT,ALREADY-OK,"Clone: payload ""echo a && echo b"" -> ""BLOCKED: chained command (&& || ;)"" rc=2; ; inside quoted commit message also rc=2.",IN_MD,CLAUDE.md:94-96,
C017,CLAUDE.md,Running commands,95,Chain only when the later command is fully dependent on the earlier,HOOK,scripts/no-chain-guard.sh,EXEC,UNSURE,CLAUDE-ONLY,YES,CURRENT,ALREADY-OK,"Guard is stricter than prose: all && ; || blocked regardless of dependency; ""ls | wc -l"" -> rc=0 (pipes allowed, as CLAUDE.md:97 now says).",IN_MD,CLAUDE.md:96-97,
C018,CLAUDE.md,Running commands,113,Do not wrap a command so it stops matching its own allowlist entry,NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,Single-command wrappers still evade guard and allowlist. || no mechanism exists,IN_MD,CLAUDE.md:97-99,
C019,CLAUDE.md,Running commands,119,"If a command is not on the allowlist, ask for it or run it plainly",NONE,,NONE,YES,UNANCHORED,N/A,CURRENT,ALREADY-OK,"""run it plainly and let the prompt happen, or ask for it to be allowed"": describes the harness permission prompt. || no mechanism exists",IN_MD,CLAUDE.md:98-99,
C020,CLAUDE.md,Running commands,133,"Agent scratch lives in the project, in .scratch/",HOOK,.gitignore:139 + .gitattributes:61,EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,"ENFORCED label kept from old vocabulary, but these are git ignore/export rules binding everyone. Clone: git check-ignore -v .scratch/foo -> "".gitignore:139:.scratch/"" rc=0. Old line .gitignore:120 is now :139.",IN_MD,CLAUDE.md:102-103,
C021,CLAUDE.md,Running commands,141,Write chained/quoted content to .scratch/ then run the file,HOOK,scripts/no-chain-guard.sh,EXEC,YES,CLAUDE-ONLY,YES,CURRENT,ALREADY-OK,Guard refusal text itself directs to .scratch/ + git commit -F (seen in the rc=2 output).,IN_MD,CLAUDE.md:101-104,
C022,CLAUDE.md,Running commands,149,"A tooling workspace must be outside any git tree, made with mktemp -d, removed on every exit",NONE,"tests/git-isolation/git-isolation.spec.ts:156-226 (checks GIT_DIR unset, not workspace placement/cleanup)",READ,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,"narrowed: ""removed on every exit"" became ""removed by the code that created it"". git-isolation pins GIT_* isolation of fixtures, not that a workspace is outside a git tree or cleaned up. || no mechanism for the rule as stated",IN_MD,CLAUDE.md:104-106,
C023,CLAUDE.md,Before Every Push,160,"The pre-push hook enforces build, lint and tests and blocks the push on failure",GATE,.githooks/pre-push:633-664 (build/lint/format/coverage) + .githooks/pre-push-project:513-520 (shellcheck/typecheck/vitest),READ,UNSURE,ALL-IF-ARMED,YES,CURRENT,ALREADY-OK,"narrowed: now ""blocks a failing push, CI is the backstop"" (also DoD.md:159-162) without naming build/lint. Build/lint/format/coverage stages still pipe_skip here (no backend/ frontend/), but this repo's tests do run: shellcheck, typecheck and vitest stages, mirrored in CI ts-tests job.",IN_MD,CLAUDE.md:110-111,
C024,CLAUDE.md,Before Every Push,170,Put project guards after BLUEPRINT:END; edits inside the region are lost at pull,TEST,tests/marker-merge/marker-merge.spec.ts:149,READ,YES,ALL,YES,CURRENT,ALREADY-OK,Marker-merge #1 pins region replaced + project tail byte-identical.,MOVED_MD,docs/DoD.md:168-171,
C025,CLAUDE.md,Before Every Push,172,Send an in-region edit upstream with blueprint a2bp instead,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,"""an edit there goes upstream with blueprint a2bp"". || no mechanism exists",MOVED_MD,docs/DoD.md:170-171,
C026,CLAUDE.md,Before Every Push,173,"A suite is two things: the files, and its invocation in the pre-push hook",TEST,"tests/manifest/manifest.spec.ts:278-400 (#4 gate invocation, #5 CI invocation)",READ,YES,ALL,YES,CURRENT,ALREADY-OK,"narrowed wording: ""tests/manifest fails the push if CI stops running any suite or the gate any other"". Old tests/manifest/test.sh:706-732 is dead (migrated to spec.ts).",MOVED_MD,docs/DoD.md:150-152,
C027,CLAUDE.md,Before Every Push,178,The gate only runs if core.hooksPath points at .githooks,GATE,scripts/lib/gate.sh:40 (arm_gate) + tests/gate-arming/gate-arming.spec.ts:212-300,READ,YES,ALL-IF-ARMED,YES,CURRENT,ALREADY-OK,Removed from CLAUDE.md; DoD §4 keeps it. arm_gate also runs via session-start.sh -> agent-activity.sh --daemon and blueprint drift.,MOVED_MD,docs/DoD.md:160-162,
C028,CLAUDE.md,Before Every Push,192,Lint warning count is ratcheted; do not loosen --max-warnings without justification,NONE,,READ,NO,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,"Still no eslint/prettier/root package.json here; only pre-push:634,652 echo ""--max-warnings"" on a lint failure in backend/ frontend/. Plan #10 kept it as one bullet. || no mechanism exists",MOVED_MD,docs/DoD.md:166-167,
C029,CLAUDE.md,Before Every Push,193,"After pushing, watch CI; if red, fix before moving on",NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,MECHANISE,"""After pushing, watch CI, and fix a red run before moving on."" Nothing invokes watch-ci. || no mechanism exists",MOVED_MD,docs/DoD.md:164-165,
C030,CLAUDE.md,Definition of Done,201,Walk the DoD Handoff checklist §A-§H before flipping the baton,GATE,".githooks/pre-push-project:454-464 -> scripts/lib/dod-gate.sh:132,282,467,498",READ,UNSURE,ALL-IF-ARMED,YES,CURRENT,LABEL-UNCHECKED,"narrowed: §7 is now D-H only (A-C folded into gate/CI/lifecycle-docs, plan #16); D/E/F/H are labelled Judgement, G checks baton form. Anchored to push, not to the baton flip.",IN_MD,CLAUDE.md:116-117,
C031,CLAUDE.md,Definition of Done,206,"If waiting-acceptance/ lacks the artefacts the signal claims, the handoff is not done",NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,MECHANISE,Also AGENTS.md:110-112 and DoD.md:78-79 (lcm step 2). Nothing correlates Task text with folders. || no mechanism exists,MOVED_MD,AGENT_SIGNAL.md:52-54,
C032,CLAUDE.md,Documentation Structure,227,A work item needing more than one file lives in its own folder under docs/<state>/,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,LABEL-UNCHECKED,|| no mechanism exists,MOVED_MD,docs/DoD.md:32-33,
C033,CLAUDE.md,Documentation Structure,233,Folder naming: BUG-XXX-<slug> / SPIKE-XX / SLICE-XX / SPRINT-YYYY-MM-DD,TEST,tests/lifecycle-docs/lifecycle-docs.ts:133-138,READ,UNSURE,ALL,YES,CURRENT,LABEL-UNCHECKED,narrowed: SLICE-XX and SPRINT-YYYY-MM-DD forms dropped; BUG-XXX-<slug> and SPIKE-XX-<NAME> remain. Suite only recognises BUG-/PLAN-BUG- names to find artefacts; misnamed folders are silently not examined.,MOVED_MD,docs/DoD.md:32-33,
C034,CLAUDE.md,Documentation Structure,237,The whole item folder travels together through doing/ to waiting-acceptance/ to done/,TEST,tests/lifecycle-docs/lifecycle-docs.ts:126-143 + lifecycle-docs.spec.ts:117,EXEC,YES,ALL,YES,CURRENT,ALREADY-OK,DoD §1b.8 names tests/lifecycle-docs #3. Suite ran green incl. the fixture case where a stranded BUG folder is named. BUG-only: SPIKE/TASK folders unchecked.,MOVED_MD,"docs/DoD.md:32-33,68-70",
C035,CLAUDE.md,Documentation Structure,240,No spike / prototype / mockup code under production src/,NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,MECHANISE,No src/ here. || no mechanism exists,MOVED_MD,docs/DoD.md:34-35,
C036,CLAUDE.md,Documentation Structure,243,"A promoted spike arm is re-implemented into src/, never mv'd wholesale",NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,DELETE-AS-ASPIRATION,"""a promoted arm is re-implemented there, not moved"". || no mechanism exists",MOVED_MD,docs/DoD.md:35,
C037,CLAUDE.md,Documentation Structure,256,"Every backlog row carries KEEP, DEFER or OBSOLETE",NONE,,EXEC,YES,UNANCHORED,N/A,CURRENT,MECHANISE,Grepped tests/**/*.ts for KEEP/DEFER/OBSOLETE/re-open trigger: no check. || no mechanism exists,MOVED_MD,docs/DoD.md:19,
C038,CLAUDE.md,Documentation Structure,259,"Items leave backlog only by promotion, or cancellation with a findings.md pointer",NONE,,READ,UNSURE,UNANCHORED,N/A,CURRENT,MECHANISE,"Partial side-mechanism: dod-gate.sh:117-121 and lifecycle-docs.ts:210 accept a findings.md mention as a cancellation record (BUG-130/134), but nothing requires the pointer when a row is deleted. || no mechanism exists",MOVED_MD,docs/DoD.md:19,
C039,CLAUDE.md,Documentation Structure,266,"Once the fix is on main, move the row and PLAN to waiting-acceptance/",GATE,scripts/lib/dod-gate.sh:154 (pipe_note only),READ,UNSURE,ALL-IF-ARMED,YES,CURRENT,LABEL-UNCHECKED,"narrowed per plan #6: move after CI green, batched into the next work commit, no separate commit. Gate only NOTEs ""rows outside doing/""; never fails.",MOVED_MD,docs/DoD.md:65-67,
C040,CLAUDE.md,Documentation Structure,286,Claude does NOT auto-promote to done/; only the founder's signal moves it,NONE,,NONE,NO,UNANCHORED,N/A,CURRENT,MECHANISE,"""only the founder's acceptance moves anything there""; also project_config_dod.md §Acceptance authority. || no mechanism exists",MOVED_MD,docs/DoD.md:28-29,
C041,CLAUDE.md,Documentation Structure,293,Every parked item carries a re-open trigger or an OBSOLETE marker,NONE,,READ,YES,UNANCHORED,N/A,CURRENT,MECHANISE,Also lcm step DoD.md:80. || no mechanism exists,MOVED_MD,"docs/DoD.md:18,26-27",
C042,CLAUDE.md,Documentation Structure,295,Never skip waiting-acceptance/,NONE,,NONE,UNSURE,UNANCHORED,N/A,CURRENT,MECHANISE,"""waiting-acceptance/ is the only path into done/"". || no mechanism exists",MOVED_MD,docs/DoD.md:28,
