TABLE,VALUE,OLD_AUDIT_309,NOW_SAME_309,NOW_WITH_NEW
DISPOSITION,ALREADY-OK,52,77,125
DISPOSITION,DELETE-AS-ASPIRATION,36,10,10
DISPOSITION,DELETED,0,25,25
DISPOSITION,LABEL-UNCHECKED,52,151,166
DISPOSITION,MECHANISE,169,46,47
MD_STATUS,IN_MD,,187,187
MD_STATUS,MOVED_MD,,95,95
MD_STATUS,REMOVED_ENFORCED,,2,2
MD_STATUS,REMOVED_LOST,,25,25
MD_STATUS,NEW,,0,64
LOSS_KIND (REMOVED_LOST),DELIBERATE,,23,23
LOSS_KIND (REMOVED_LOST),OBSOLETE,,2,2
ENFORCED,CI,1,1,7
ENFORCED,COMMIT-MSG,3,2,2
ENFORCED,COMMIT-MSG+CI,0,1,1
ENFORCED,GATE,31,32,39
ENFORCED,GATE+CI,0,4,4
ENFORCED,HOOK,8,11,16
ENFORCED,HOOK+GATE,0,1,1
ENFORCED,NONE,233,222,238
ENFORCED,SCRIPT,0,1,23
ENFORCED,TEST,33,34,42
BINDS,ALL,1,44,81
BINDS,ALL-IF-ARMED,67,34,36
BINDS,CLAUDE-ONLY,8,12,21
BINDS,UNANCHORED,233,219,235
MD_STATUS x DISPOSITION,IN_MD / ALREADY-OK,,,52
MD_STATUS x DISPOSITION,IN_MD / DELETE-AS-ASPIRATION,,,7
MD_STATUS x DISPOSITION,IN_MD / LABEL-UNCHECKED,,,101
MD_STATUS x DISPOSITION,IN_MD / MECHANISE,,,27
MD_STATUS x DISPOSITION,MOVED_MD / ALREADY-OK,,,23
MD_STATUS x DISPOSITION,MOVED_MD / DELETE-AS-ASPIRATION,,,3
MD_STATUS x DISPOSITION,MOVED_MD / LABEL-UNCHECKED,,,50
MD_STATUS x DISPOSITION,MOVED_MD / MECHANISE,,,19
MD_STATUS x DISPOSITION,NEW / ALREADY-OK,,,48
MD_STATUS x DISPOSITION,NEW / LABEL-UNCHECKED,,,15
MD_STATUS x DISPOSITION,NEW / MECHANISE,,,1
MD_STATUS x DISPOSITION,REMOVED_ENFORCED / ALREADY-OK,,,2
MD_STATUS x DISPOSITION,REMOVED_LOST / DELETED,,,25
