ID,SOURCE,SECTION,LINE,RULE,ENFORCED,MECHANISM,VERIFIED,ANCHOR_CORRECT,BINDS,EXECUTES_HERE,STILL_CURRENT,DISPOSITION,NOTE
C001,CLAUDE.md,Preamble,5,Read project_config_overview/paths/dod alongside CLAUDE.md,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,No mechanism can observe whether a file was read. Could be a session-start hook that prints the config files' key rows. || no mechanism exists
C002,CLAUDE.md,Preamble,11,"When editing config, distinguish templates/ (ships) from root copy (this repo only)",TEST,tests/template-source/template-source.spec.ts:1,READ,YES,ALL-IF-ARMED,UNKNOWN,UNKNOWN,ALREADY-OK,"BUG-009 regression pins the split: root project_config_*.md is export-ignore'd, templates/ carries placeholders only."
C003,CLAUDE.md,Agent Coordination,17,logs/state/signal.md is written only by scripts/signal-set.sh,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Nothing stops a hand-edit. Anchor: signal.md is untracked so no hook sees it; a checksum row written by signal-set and verified by the gate would work. || no mechanism exists
C004,CLAUDE.md,Agent Coordination,21,Do not hand-edit the baton rows; one writer publishes atomically,GATE,scripts/lib/dod-gate.sh:174,EXEC,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,"dod_stage_signal only checks Holder/State/Task rows EXIST. A hand-edited but well-formed baton passes. Ran it: ""baton well-formed""."
C005,CLAUDE.md,Agent Coordination,23,"Holder must be a persona name from the roster, not a bare agent type",NONE,,EXEC,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Grepped signal-set.sh: it writes $HOLDER verbatim with no roster lookup. roster.sh could validate the name at publish time. || no mechanism exists
C006,CLAUDE.md,Agent Coordination,28,Copy AGENT_ROSTER.example.md to a gitignored AGENT_ROSTER.md once,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,"Per-engineer file, so no shared gate can assert it. A missing-roster warning already comes from --whoami. || no mechanism exists"
C007,CLAUDE.md,Agent Coordination,37,Read AGENTS.md before any coordinated work,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,DELETE-AS-ASPIRATION,"Unobservable. ""Read X first"" is the class of rule this audit exists to retire. || no mechanism exists"
C008,CLAUDE.md,On wake,49,Adopt the Orchestrator persona by reading its name from the roster,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,scripts/agent-activity.sh --whoami exists but nothing requires it to run. Could be a SessionStart hook printing the persona. || no mechanism exists
C009,CLAUDE.md,On wake,59,Ensure the live team feed is running (agent-activity.sh --daemon),NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"A SessionStart hook could start it idempotently, which is what the prose already describes as ""ensure running"". || no mechanism exists"
C010,CLAUDE.md,On wake,67,Spawned non-primary personas must NOT start the feed,TEST,tests/agent-activity-bound/,READ,UNSURE,ALL-IF-ARMED,UNKNOWN,UNKNOWN,MECHANISE,The suite pins the flock idempotency guard (BUG-001) so a second call is a no-op; it does not distinguish primary from spawned callers.
C011,CLAUDE.md,On wake,69,Arm the wake-time Monitors on every wake,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Monitors are session state no repo file can see. Anchor is the harness, not the gate. || no mechanism exists"
C012,CLAUDE.md,On wake,72,"Watch signal.md and emit on EVERY Holder/State change, not just OVER_TO_you",NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,Same layer problem as above; a SessionStart hook could register the Monitor rather than asking the agent to remember. || no mechanism exists
C013,CLAUDE.md,On wake,78,"Arm whatever project_config_paths.md ""Wake-time Monitors"" declares",NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Project-specific by construction; nothing generic can check it. || no mechanism exists
C014,CLAUDE.md,On wake,82,Monitors must be persistent:true and emit only on change,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Unobservable from the repo. || no mechanism exists
C015,CLAUDE.md,On wake,88,A spawned session must not re-run the orchestrator wake steps,NONE,,NONE,UNSURE,UNANCHORED,N/A,UNKNOWN,LABEL-UNCHECKED,Only the harness knows which session is primary. || no mechanism exists
C016,CLAUDE.md,Running commands,94,Every command in its own call; never join independent commands with ; && ||,HOOK,scripts/no-chain-guard.sh + .claude/settings.json PreToolUse,EXEC,YES,CLAUDE-ONLY,UNKNOWN,UNKNOWN,ALREADY-OK,"Blocked three of my own calls this session, including inside quoted text. The exemplar of a correctly anchored rule."
C017,CLAUDE.md,Running commands,95,Chain only when the later command is fully dependent on the earlier,HOOK,scripts/no-chain-guard.sh,EXEC,UNSURE,CLAUDE-ONLY,UNKNOWN,UNKNOWN,ALREADY-OK,"The guard is STRICTER than the prose: it blocks all &&/;/|| and permits pipes, so the dependency judgement is never exercised."
C018,CLAUDE.md,Running commands,113,Do not wrap a command so it stops matching its own allowlist entry,NONE,,NONE,NO,UNANCHORED,N/A,UNKNOWN,MECHANISE,"Partially covered by the chain guard, but a single-command wrapper (subshell, xargs) evades both. Anchor is the permission layer. || no mechanism exists"
C019,CLAUDE.md,Running commands,119,"If a command is not on the allowlist, ask for it or run it plainly",NONE,,NONE,YES,UNANCHORED,N/A,UNKNOWN,ALREADY-OK,This is what the permission prompt already does; the rule describes the harness rather than adding one. || no mechanism exists
